   Multiple Comparison of Means - Tukey HSD, FWER=0.05   
=========================================================
group1 group2  meandiff p-adj    lower     upper   reject
   C22    C24   -0.0921    0.9   -0.9534    0.7692  False
   C22    C25      0.19    0.9   -0.6712    1.0513  False
   C22    C26    -0.226    0.9   -1.0873    0.6353  False
   C22    C27   -0.3707    0.9    -1.232    0.4906  False
   C22     C3   74.3272  0.001   73.4659   75.1885   True
   C22     C4   34.5629  0.001   33.7016   35.4242   True
   C22     C5  124.0912  0.001  123.2299  124.9525   True
   C22     C6  113.8435  0.001  112.9822  114.7048   True
   C22     C7   87.6592  0.001   86.7979   88.5205   True
   C22     C8    102.65  0.001  101.7887  103.5112   True
   C22     C9   82.2155  0.001   81.3542   83.0768   True
   C23    C24   -0.3631    0.9   -1.2244    0.4982  False
   C23    C25   -0.0809    0.9   -0.9422    0.7804  False
   C23    C26   -0.4969 0.8419   -1.3582    0.3643  False
   C23    C27   -0.6417  0.443    -1.503    0.2196  False
   C23     C3   74.0562  0.001   73.1949   74.9175   True
   C23     C4   34.2919  0.001   33.4306   35.1532   True
   C23     C5  123.8202  0.001  122.9589  124.6815   True
   C23     C6  113.5725  0.001  112.7113  114.4338   True
   C23     C7   87.3882  0.001   86.5269   88.2495   True
   C23     C8   102.379  0.001  101.5177  103.2403   True
   C23     C9   81.9445  0.001   81.0833   82.8058   True
   C24    C25    0.2822    0.9   -0.5791    1.1435  False
   C24    C26   -0.1338    0.9   -0.9951    0.7275  False
   C24    C27   -0.2785    0.9   -1.1398    0.5827  False
   C24     C3   74.4193  0.001    73.558   75.2806   True
   C24     C4    34.655  0.001   33.7937   35.5163   True
   C24     C5  124.1833  0.001   123.322  125.0446   True
   C24     C6  113.9357  0.001  113.0744   114.797   True
   C24     C7   87.7513  0.001     86.89   88.6126   True
   C24     C8  102.7421  0.001  101.8808  103.6034   True
   C24     C9   82.3077  0.001   81.4464    83.169   True
   C25    C26    -0.416    0.9   -1.2773    0.4453  False
   C25    C27   -0.5607 0.6674    -1.422    0.3006  False
   C25     C3   74.1371  0.001   73.2759   74.9984   True
   C25     C4   34.3728  0.001   33.5115   35.2341   True
   C25     C5  123.9011  0.001  123.0399  124.7624   True
   C25     C6  113.6535  0.001  112.7922  114.5148   True
   C25     C7   87.4691  0.001   86.6079   88.3304   True
   C25     C8  102.4599  0.001  101.5986  103.3212   True
   C25     C9   82.0255  0.001   81.1642   82.8868   True
   C26    C27   -0.1447    0.9    -1.006    0.7166  False
   C26     C3   74.5532  0.001   73.6919   75.4145   True
   C26     C4   34.7888  0.001   33.9275   35.6501   True
   C26     C5  124.3172  0.001  123.4559  125.1785   True
