   Multiple Comparison of Means - Tukey HSD, FWER=0.05   
=========================================================
group1 group2  meandiff p-adj    lower     upper   reject
   C23    C27   -0.7005 0.0095   -1.3117   -0.0894   True
   C23     C3   73.1371  0.001    72.526   73.7483   True
   C23     C4   34.2171  0.001    33.606   34.8283   True
   C23     C5  123.9131  0.001   123.302  124.5243   True
   C23     C6  113.2378  0.001  112.6266   113.849   True
   C23     C7   87.4011  0.001     86.79   88.0123   True
   C23     C8  102.3065  0.001  101.6954  102.9177   True
   C23     C9   81.8555  0.001   81.2443   82.4666   True
   C24    C25       0.6 0.0607   -0.0111    1.2112  False
   C24    C26    0.1185    0.9   -0.4927    0.7297  False
   C24    C27   -0.4846 0.3195   -1.0958    0.1265  False
   C24     C3    73.353  0.001   72.7418   73.9642   True
   C24     C4    34.433  0.001   33.8218   35.0442   True
   C24     C5   124.129  0.001  123.5178  124.7402   True
   C24     C6  113.4537  0.001  112.8425  114.0648   True
   C24     C7    87.617  0.001   87.0058   88.2282   True
   C24     C8  102.5224  0.001  101.9113  103.1336   True
   C24     C9   82.0713  0.001   81.4602   82.6825   True
   C25    C26   -0.4815 0.3312   -1.0927    0.1296  False
   C25    C27   -1.0847  0.001   -1.6958   -0.4735   True
   C25     C3    72.753  0.001   72.1418   73.3641   True
   C25     C4    33.833  0.001   33.2218   34.4441   True
   C25     C5   123.529  0.001  122.9178  124.1401   True
   C25     C6  112.8536  0.001  112.2425  113.4648   True
   C25     C7    87.017  0.001   86.4058   87.6281   True
   C25     C8  101.9224  0.001  101.3112  102.5335   True
   C25     C9   81.4713  0.001   80.8601   82.0825   True
   C26    C27   -0.6031 0.0575   -1.2143     0.008  False
   C26     C3   73.2345  0.001   72.6233   73.8457   True
   C26     C4   34.3145  0.001   33.7033   34.9257   True
   C26     C5  124.0105  0.001  123.3993  124.6217   True
   C26     C6  113.3352  0.001   112.724  113.9463   True
   C26     C7   87.4985  0.001   86.8873   88.1097   True
   C26     C8  102.4039  0.001  101.7928  103.0151   True
   C26     C9   81.9528  0.001   81.3417    82.564   True
   C27     C3   73.8376  0.001   73.2265   74.4488   True
   C27     C4   34.9176  0.001   34.3065   35.5288   True
   C27     C5  124.6136  0.001  124.0025  125.2248   True
   C27     C6  113.9383  0.001  113.3272  114.5495   True
   C27     C7   88.1016  0.001   87.4905   88.7128   True
   C27     C8  103.0071  0.001  102.3959  103.6182   True
   C27     C9    82.556  0.001   81.9448   83.1671   True
    C3     C4    -38.92  0.001  -39.5312  -38.3088   True
    C3     C5    50.776  0.001   50.1648   51.3872   True
    C3     C6   40.1007  0.001   39.4895   40.7118   True
    C3     C7    14.264  0.001   13.6528   14.8752   True
    C3     C8   29.1694  0.001   28.5583   29.7806   True
    C3     C9    8.7183  0.001    8.1072    9.3295   True
    C4     C5    89.696  0.001   89.0848   90.3072   True
    C4     C6   79.0207  0.001   78.4095   79.6318   True
    C4     C7    53.184  0.001   52.5728   53.7952   True
    C4     C8   68.0894  0.001   67.4783   68.7006   True
    C4     C9   47.6383  0.001   47.0272   48.2495   True
    C5     C6  -10.6753  0.001  -11.2865  -10.0642   True
    C5     C7   -36.512  0.001  -37.1232  -35.9008   True
    C5     C8  -21.6066  0.001  -22.2177  -20.9954   True
    C5     C9  -42.0577  0.001  -42.6688  -41.4465   True
    C6     C7  -25.8367  0.001  -26.4478  -25.2255   True
    C6     C8  -10.9312  0.001  -11.5424  -10.3201   True
    C6     C9  -31.3823  0.001  -31.9935  -30.7712   True
    C7     C8   14.9054  0.001   14.2943   15.5166   True
    C7     C9   -5.5457  0.001   -6.1568   -4.9345   True
    C8     C9  -20.4511  0.001  -21.0622  -19.8399   True
---------------------------------------------------------
